Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
Type,Simulation,case,tau_setup,lossValue,predictionAccuracy,avg_tau,stddev_tau,avg_each_local,stddev_each_local,avg_each_global,stddev_each_global,avg_betaAdapt,stddev_betaAdapt,avg_deltaAdapt,stddev_deltaAdapt,avg_rhoAdapt,stddev_rhoAdapt,total_time_recomputed
distributed,0,0,-1,0.22407742973955308,0.8751,28.543287327478044,12.600097831920243,0.013007234977421499,0.0028042954423564068,0.12130108293165233,0.04981693542161845,12.060400256267384,25.817519809855856,0.5311190963319333,0.09229873292600133,0.36112152189927504,1.0557568401483286,15.047419892983287,
distributed,0,0,1,0.24727681587129396,0.8435,1.0,0.0,0.01316068127349983,0.006811574365227877,0.13825922691955564,0.05490601812072074,nan,nan,nan,nan,nan,nan,14.990570911112489,
distributed,0,0,2,0.23354473077649657,0.8579,1.989795918367347,0.14069079067862747,0.012588657368041316,0.004850187837503406,0.12771021486248862,0.04896598290148413,nan,nan,nan,nan,nan,nan,15.09808986359005,
distributed,0,0,3,0.22926025295111538,0.8622,2.9854545454545454,0.29012338845660307,0.012644087620896366,0.00426129294018668,0.12431808697681483,0.05487253195012263,nan,nan,nan,nan,nan,nan,15.02883300541605,
distributed,0,0,5,0.22634724693381983,0.8685,4.979328165374677,0.6283379061261193,0.012604728414501679,0.0032248620240310213,0.130351433864336,0.052818169724932015,nan,nan,nan,nan,nan,nan,15.248439688891018,
distributed,0,0,7,0.22505669281493199,0.8694,6.975257731958763,0.9927329682651321,0.013254806157705959,0.0029611731986464666,0.12142059976058231,0.05749178453951168,nan,nan,nan,nan,nan,nan,15.002960407500813,
distributed,0,0,10,0.22428609516346462,0.8714,9.969594594594595,1.6027053183738023,0.012856817088785041,0.002498938187068478,0.12007996811669715,0.05284423274097493,nan,nan,nan,nan,nan,nan,14.908119188589698,
distributed,0,0,20,0.22332651339856796,0.8723,19.9501312335958,4.14095399636364,0.012661069822493789,0.0025713608250461815,0.13111001798397087,0.05302206580898109,nan,nan,nan,nan,nan,nan,15.046050691354171,
distributed,0,0,30,0.22295435697124494,0.873,29.93348623853211,7.124432905485592,0.012758733345570393,0.0027190233317324754,0.12597584218249525,0.05197385150080655,nan,nan,nan,nan,nan,nan,15.256965602517568,
distributed,0,0,50,0.22303043199411252,0.8738,49.34226804123711,12.065768373373878,0.012704358043414592,0.001102127122267907,0.13699477384209555,0.06984777746960422,nan,nan,nan,nan,nan,nan,15.24874464322935,
distributed,0,0,70,0.22266787092676182,0.8744,68.85458167330677,19.571982526049833,0.012980157070682223,0.0007235653692929447,0.12851110540276137,0.04118711072523764,nan,nan,nan,nan,nan,nan,14.941681950547835,
distributed,0,0,100,0.2226774370007509,0.874,99.01186943620178,35.26595383652624,0.011937750830289544,0.0033549907974795047,0.12643892850660207,0.05684429525016929,nan,nan,nan,nan,nan,nan,14.783810607709059,
distributed,0,1,-1,0.22782641187975483,0.8632,9.174603174603174,3.065424178939254,0.01321434551504342,0.002473086030180396,0.1295709900623334,0.06004945098018194,11.948901569310612,2.978169921428503,1.3353456045577485,0.1916217635380682,0.9002413494776722,0.20842719031182141,14.727688756504154,
distributed,0,1,1,0.24519748222538507,0.8458,1.0,0.0,0.013307294553051685,0.006924699921982703,0.12702448356728002,0.051122610461088486,nan,nan,nan,nan,nan,nan,15.015500258875491,
distributed,0,1,2,0.23502082962290943,0.8549,1.988888888888889,0.14661169301237728,0.013064268761899001,0.0051903982338571825,0.1393456984415216,0.04752798696448506,nan,nan,nan,nan,nan,nan,15.028436612571022,
distributed,0,1,3,0.23081202939444406,0.8592,2.9844357976653697,0.2997334439173632,0.012646520472858015,0.003568634551143312,0.13687984520825824,0.05005406085883449,nan,nan,nan,nan,nan,nan,15.159817135704875,
distributed,0,1,5,0.22845604577940437,0.863,4.9728260869565215,0.56975628317924,0.013179239917277307,0.003596885195641837,0.13475362074884123,0.049910891109336185,nan,nan,nan,nan,nan,nan,14.998920919853303,
distributed,0,1,7,0.2276262691608474,0.8629,6.965591397849463,0.9332154110708886,0.013355694982113853,0.0029181349240512836,0.12877618866158352,0.05490133112620949,nan,nan,nan,nan,nan,nan,15.03111096838222,
distributed,0,1,10,0.22804566655545305,0.8633,9.967391304347826,1.6560139707949761,0.013171415707513384,0.002244668171217763,0.13308153318115268,0.060610802400488994,nan,nan,nan,nan,nan,nan,14.86321576953774,
distributed,0,1,20,0.2302102212513936,0.8632,19.948787061994608,4.190876412148972,0.013387000459942709,0.002165537954269303,0.13437031711425357,0.05569057830908733,nan,nan,nan,nan,nan,nan,14.93503619981512,
distributed,0,1,30,0.23164132364661988,0.8611,29.694074969770252,5.793103448275862,0.013535521732632701,0.0020461707700117986,0.13700357351430503,0.05419975351485996,nan,nan,nan,nan,nan,nan,14.87813978167249,
distributed,0,1,50,0.23605444696708952,0.8578,49.89684210526316,10.670051546267244,0.01334472442481282,0.0010555880825501808,0.11149342838157532,0.04770347290450174,nan,nan,nan,nan,nan,nan,14.85118298573477,
distributed,0,1,70,0.23893121821725608,0.8542,69.85947046843177,22.819605057932094,0.013064208021294554,0.003030047942287573,0.1387432042268014,0.05808593690714313,nan,nan,nan,nan,nan,nan,14.913961397054345,
distributed,0,1,100,0.24047957054501956,0.8528,98.03018500486854,32.638061455232844,0.014374192954381526,0.005119139085869408,0.12637809328972335,0.05213799424537556,nan,nan,nan,nan,nan,nan,14.922763577527345,
distributed,0,2,-1,0.22411741772965543,0.876,96.48518896833504,43.09369242163651,0.013448235321724145,0.002514474552510015,0.10646893905552765,0.04564221628086401,1e-05,0.0,5.689087403524387e-17,2.185428616753146e-17,0.0,0.0,14.863239272352452,
distributed,0,2,1,0.2470478004518737,0.8438,1.0,0.0,0.013905403446702474,0.0068214324234720115,0.12957957436054612,0.05024315156302199,nan,nan,nan,nan,nan,nan,14.922437691953855,
distributed,0,2,2,0.236839843838125,0.851,1.9886363636363635,0.1482124264974485,0.013465706285343406,0.004315130989116994,0.14404293432281412,0.05008948824591818,nan,nan,nan,nan,nan,nan,15.194484103341484,
distributed,0,2,3,0.22959964536476252,0.8609,2.985294117647059,0.2916610405434508,0.0131233204509316,0.0037599371842926077,0.12354215625136222,0.05432753338696252,nan,nan,nan,nan,nan,nan,14.951922542370088,
distributed,0,2,5,0.22785648923444274,0.8677,4.979328165374677,0.6283379061261193,0.013260028797236558,0.0030332379489083796,0.12586630408780966,0.048808803546060216,nan,nan,nan,nan,nan,nan,15.026238130818484,
distributed,0,2,7,0.22516354425359728,0.8689,6.975609756097561,0.9860132971832692,0.01338793904456978,0.002969732252236267,0.12003110051050525,0.05053519210599176,nan,nan,nan,nan,nan,nan,15.119788581844558,
